Item ID,Item No.,Item Barcode,Name,Category,Supplier,Cost (Vat),Price,Image,Date Stamp
1e76f224,MD352627  0001,MD352627  0001,กรองน้ำมันเครื่องมิสซูบิชิ2627,กรองน้ำมันเครื่อง,เจ๊จู,70.4,300,Item_Images/MD352627  0001.Image.061943.png,11/1/2564 13:39:00
7f985fcb,MD360935T,MD360935T,กรองน้ำมันเครื่องมิสซูบิชิ935T,กรองน้ำมันเครื่อง,เจ๊จู,80,300,Item_Images/MD360935T.Image.061916.png,11/1/2564 13:43:00
af93447f,ME201871,ME201871,กรองน้ำมันเครื่องมิสซูบิชิ871,กรองน้ำมันเครื่อง,เจ๊จู,140,300,Item_Images/ME201871.Image.061912.png,11/1/2564 13:34:00
d68bb890,WL5114302T,WL5114302T,กรองน้ำมันเครื่อง​Mazda302T,กรองน้ำมันเครื่อง,เจ๊จู,130,300,Item_Images/WL5114302T.Image.062144.png,11/1/2564 14:10:00
d1a03ffe,165462S601,165462S601,กรองอากาศNISSAN165462S601,กรองอากาศ,เจ๊จู,200,485,Item_Images/165462S601.Image.050743.png,12/1/2564 10:48:00
572a1f31,1654673C10,1654673C10,กรองอากาศNISSAN-1654673C10,กรองอากาศ,เจ๊จู,200,360,Item_Images/1654673C10.Image.050758.png,12/1/2564 10:15:00
083e6c10,165469S000,165469S000,กรองอากาศNISSAN-165469S000,กรองอากาศ,เจ๊จู,250,450,Item_Images/165469S000.Image.050753.png,12/1/2564 10:53:00
e0453e43,16546EB70A,16546EB70A,กรองอากาศแอร์NISSAN165EB70A,กรองอากาศ,เจ๊จู,280,650,Item_Images/16546EB70A.Image.050930.png,12/1/2564 10:12:00
7ee54554,16546V0100,16546V0100,กรองอากาศNISSAN16546V0100,กรองอากาศ,เจ๊จู,200,650,Item_Images/16546V0100.Image.050728.png,12/1/2564 10:17:00
3d364a09,16546V0192,16546V0192,กรองอากาศNISSAN-16546VO192,กรองอากาศ,เจ๊จู,200,360,Item_Images/16546V0192.Image.050747.png,12/1/2564 11:47:00
b95d2262,178010CO10,178010CO10,กรองอากาศTOYOTA178010C010,กรองอากาศ,เจ๊จู,350,650,Item_Images/178010CO10.Image.050818.png,12/1/2564 10:51:00
45b98156,178010H020  Q,178010H020  Q,กรองอากาศTOYOTA-178010H020,กรองอากาศ,เจ๊จู,220,400,Item_Images/178010H020  Q.Image.050828.png,12/1/2564 10:34:00
51ca14be,178010H030  R,178010H030  R,กรองอากาศTOYOTA-178010H030,กรองอากาศ,เจ๊จู,280,500,Item_Images/178010H030  R.Image.050832.png,12/1/2564 10:32:00
5bf42fbc,17801-0M010,17801-0M010,กรองอากาศTOYOTA-178010M010,กรองอากาศ,เจ๊จู,180,350,Item_Images/17801-0M010.Image.050839.png,12/1/2564 11:44:00
b22370cc,1780130050,1780130050,กรองอากาศTOYOTA-1780130050,กรองอากาศ,เจ๊จู,280,500,Item_Images/1780130050.Image.050858.png,12/1/2564 10:29:00
40de1f65,1780154170,1780154170,กรองอากาศTOYOTA1780154170,กรองอากาศ,เจ๊จู,168,450,Item_Images/1780154170.Image.050823.png,12/1/2564 10:57:00
592c2594,1812228600202,1812228600202,กรองอากาศTOYOTA-17801310501,กรองอากาศ,เจ๊จู,120,360,Item_Images/1812228600202.Image.050902.png,12/1/2564 10:39:00
1827a22a,1G8018M020  V,1G8018M020  V,กรองอากาศTOYOTA-178010M020,กรองอากาศ,เจ๊จู,180,350,Item_Images/1G8018M020  V.Image.050854.png,12/1/2564 10:35:00
eea28b94,2246413701754,2246413701754,กรองอากาศFORD-WL0013Z40,กรองอากาศ,เจ๊จู,228,650,Item_Images/2246413701754.Image.050612.png,12/1/2564 10:11:00
136c6b1d,3446414704566,3446414704566,กรองอากาศHONDA17220REAZ00,กรองอากาศ,เจ๊จู,225,350,Item_Images/3446414704566.Image.050627.png,12/1/2564 10:18:00
f2dd6abe,7570747345670,7570747345670,กรองอากาศแอร์TOYOTA-0K060,กรองอากาศ,เจ๊จู,180,450,Item_Images/7570747345670.Image.050935.png,12/1/2564 9:54:00
8125ab6d,840374107314,840374107314,กรองอากาศแอร์HONDA-G0001,กรองอากาศ,เจ๊จู,180,450,Item_Images/840374107314.Image.050925.png,12/1/2564 10:01:00
d960410b,87139-06080,87139-06080,กรองอากาศแอร์TOYOTA-06080,กรองอากาศ,เจ๊จู,108,450,Item_Images/87139-06080.Image.050939.png,12/1/2564 9:52:00
941239bb,8859121602172,8859121602172,กรองอากาศISUZU-898274800,กรองอากาศ,เจ๊จู,348,450,Item_Images/8859121602172.Image.050704.png,12/1/2564 10:10:00
4ab43917,8859121607344,8859121607344,กรองอากาศSUZUKI1378058M00000,กรองอากาศ,เจ๊จู,132,450,Item_Images/8859121607344.Image.050812.png,12/1/2564 10:55:00
dc2b40fb,8943349060,8943349060,กรองอากาศISUZU8943349060,กรองอากาศ,เจ๊จู,140,250,Item_Images/8943349060.Image.050639.png,12/1/2564 10:45:00
8633acfa,89794064805,89794064805,กรองอากาศISUZU-8981402660,กรองอากาศ,เจ๊จู,435,700,Item_Images/89794064805.Image.050718.png,12/1/2564 10:02:00
cb8df117,8979416550,8979416550,กรองอากาศISUZU8979416550,กรองอากาศ,เจ๊จู,200,360,Item_Images/8979416550.Image.050654.png,12/1/2564 10:47:00
a39ca7aa,8981394280,8981394280,กรองอากาศISUZU8981394280,กรองอากาศ,เจ๊จู,180,450,Item_Images/8981394280.Image.050659.png,12/1/2564 9:56:00
51778cc7,92204706,92204706,กรองอากาศแอร์เชฟโลเลตโคโรราโด้4706,กรองอากาศ,เจ๊จู,180,450,Item_Images/92204706.Image.050943.png,12/1/2564 9:58:00
42750a5e,94653873401,94653873401,17220-RB6-Z00,กรองอากาศ,เจ๊จู,230,415,Item_Images/94653873401.Image.050606.png,8/2/2564 17:23:00
a81614b6,MR239466,MR239466,กรองอากาศมิสซูบิชิ9466,กรองอากาศ,เจ๊จู,220,400,Item_Images/MR239466.Image.050920.png,12/1/2564 10:41:00
30c0bf49,Newranger,Newranger,กรองอากาศNEWRANGER508,กรองอากาศ,เจ๊จู,310.25,650,Item_Images/Newranger.Image.050724.png,12/1/2564 11:50:00
ccc3fba6,17220R1AA01,17220R1AA01,กรองอากาศHONDA​ AA01,กรองอากาศ,เจ๊จู,180,415,Item_Images/17220R1AA01.Image.050634.png,3/4/2564
f9e0ab67,เจ้จู,1234,กรองอากาศtoyota8856852010,กรองอากาศ,เจ๊จู,90,450,,17/6/2564
858c3ccc,550050116,5011987049116,Helix Hx8 5W-30 D. 6 ลิตร,ดีเซล,Shell,1269.65,1700,Item_Images/5011987049116.Image.071342.jpg,31/12/2563 18:57:00
92e8d90a,550050115,5011987049154,Helix Hx5 15W-40 D. 6 ลิตร,ดีเซล,Shell,756.76,928,Item_Images/5011987049154.Image.054843.124952.jpg,31/12/2563 18:58:00
b04e5aca,550050495,5011987050372,Helix Ultra 0W-40 D. 6 ลิตร,ดีเซล,Shell,2067.03,2800,Item_Images/5011987050372.Image.070933.jpg,31/12/2563 18:57:00
